"ID","REF"
905,"1"
906,"1"
907,"1"
908,"1"
909,"5"
910,"5"
911,"5"
912,"1"
913,"1"
914,"5"
915,"5"
916,"3"
917,"1"
918,"5"
919,"1"
920,"1"
921,"5"
922,"4"
923,"5"
924,"1"
925,"5"
926,"5"
927,"1"
928,"5"
929,"6"
930,"3"
931,"1"
932,"4"
933,"1"
934,"1"
935,"1"
936,"1"
937,"1"
938,"5"
939,"3"
940,"3"
941,"3"
942,"5"
943,"1"
944,"4"
945,"6"
946,"4"
947,"1"
948,"1"
949,"5"
950,"6"
951,"1"
952,"5"
953,"5"
954,"5"
955,"5"
956,"1"
957,"3"
958,"1"
959,"4"
960,"1"
961,"5"
962,"1"
963,"3"
964,"1"
965,"4"
966,"5"
967,"5"
968,"5"
969,"1"
970,"1"
971,"5"
972,"5"
973,"1"
974,"1"
975,"1"
976,"1"
977,"3"
978,"5"
979,"1"
980,"1"
981,"1"
982,"1"
983,"1"
984,"1"
985,"5"
986,"5"
987,"5"
988,"5"
989,"1"
990,"5"
991,"3"
992,"4"
993,"1"
994,"5"
995,"1"
996,"5"
997,"1"
998,"1"
999,"1"
1000,"3"
1001,"1"
1002,"1"
1003,"5"
1004,"5"
1005,"1"
1006,"5"
1007,"1"
1008,"4"
1009,"1"
1010,"5"
1011,"1"
1012,"6"
1013,"5"
1014,"1"
1015,"1"
1016,"3"
1017,"1"
1018,"1"
1019,"1"
1020,"1"
1021,"1"
1022,"1"
1023,"5"
1024,"1"
1025,"1"
1026,"1"
1027,"1"
1028,"1"
1029,"1"
1030,"1"
1031,"1"
1032,"1"
1033,"1"
1034,"1"
1035,"3"
1036,"1"
1037,"3"
1038,"1"
1039,"3"
1040,"1"
1041,"1"
1042,"1"
1043,"1"
1044,"1"
1045,"3"
1046,"1"
1047,"3"
1048,"1"
1049,"1"
1050,"3"
1051,"3"
1052,"1"
1053,"3"
1054,"1"
1055,"1"
1056,"1"
1057,"1"
1058,"3"
1059,"3"
1060,"1"
1061,"1"
1062,"1"
1063,"1"
1064,"1"
1065,"1"
1066,"1"
1067,"1"
1068,"4"
1069,"1"
1070,"3"
1071,"3"
1072,"1"
1073,"1"
1074,"3"
1075,"1"
1076,"1"
1077,"1"
1078,"1"
1079,"1"
1080,"1"
1081,"1"
1082,"3"
1083,"1"
1084,"3"
1,"4"
2,"6"
3,"6"
4,"3"
5,"3"
6,"3"
7,"4"
8,"4"
10,"3"
11,"3"
16,"4"
17,"4"
18,"4"
21,"4"
22,"4"
37,"4"
39,"4"
40,"4"
42,"3"
44,"3"
45,"3"
46,"4"
59,"3"
60,"3"
61,"3"
62,"4"
69,"4"
70,"4"
71,"4"
72,"4"
73,"4"
74,"4"
76,"3"
89,"4"
99,"6"
101,"6"
102,"4"
103,"4"
105,"4"
123,"4"
125,"4"
127,"3"
128,"4"
132,"6"
135,"4"
136,"4"
137,"4"
138,"4"
140,"4"
142,"4"
143,"4"
144,"4"
145,"3"
146,"4"
149,"2"
150,"4"
152,"4"
153,"6"
154,"4"
155,"4"
156,"3"
157,"6"
158,"4"
159,"3"
167,"6"
169,"6"
170,"3"
172,"4"
173,"4"
174,"4"
175,"6"
176,"3"
178,"3"
209,"4"
210,"3"
211,"3"
212,"6"
213,"3"
214,"4"
215,"3"
221,"4"
222,"6"
226,"4"
228,"3"
229,"4"
230,"4"
231,"4"
232,"6"
233,"6"
234,"4"
240,"4"
241,"3"
242,"3"
243,"3"
246,"4"
247,"3"
248,"3"
258,"3"
259,"4"
260,"4"
261,"4"
262,"4"
263,"4"
264,"6"
265,"3"
266,"4"
267,"4"
268,"4"
270,"3"
271,"3"
273,"4"
274,"3"
275,"4"
276,"6"
277,"4"
278,"6"
279,"6"
280,"3"
281,"6"
282,"4"
283,"3"
284,"4"
285,"3"
286,"4"
287,"4"
288,"4"
289,"4"
306,"3"
309,"3"
310,"4"
311,"3"
312,"4"
313,"3"
314,"4"
315,"4"
317,"3"
318,"4"
319,"4"
320,"6"
321,"3"
322,"6"
323,"4"
324,"4"
343,"4"
344,"3"
345,"4"
347,"4"
353,"3"
354,"3"
356,"6"
357,"3"
358,"4"
359,"3"
360,"6"
361,"3"
377,"3"
378,"6"
382,"4"
383,"3"
384,"6"
386,"6"
389,"4"
390,"4"
391,"3"
392,"4"
394,"4"
395,"4"
396,"4"
397,"3"
398,"3"
